WARD_ID,WARD_AREA_KM2,POPULATION,NEAREST_FACILITY_KM,FACILITY_COUNT_2KM,DATA_AVAILABILITY,POPULATION_DENSITY,ACCESS_GAP,FACILITY_DEFICIT,RISK_SCORE,TOP_RISK_DRIVER,SHAP_POPULATION_DENSITY,SHAP_NEAREST_FACILITY_KM,SHAP_FACILITY_COUNT_2KM,SHAP_ACCESS_GAP,SHAP_FACILITY_DEFICIT
147,2.406249675573728,17881.0,0.1043258757501411,0.0588235294117647,VALIDATED,0.0306532262309888,0.026435164307431,0.0,0.020220257,FACILITY_COUNT_2KM,-0.029058687,-0.0009335756,-0.0697763,-0.025641644,-0.067030855
157,4.156041299906735,60544.02424628922,0.2318509520678121,0.0,VALIDATED_ESTIMATE,0.0712361666287086,0.123290715021667,1.0,0.36520597,FACILITY_DEFICIT,-0.02073709,0.00048711197,0.08347681,-0.0035116689,0.0928296
0,5.720111945628562,83328.95929965758,0.2532974902023823,0.0,VALIDATED_ESTIMATE,0.0712361666287086,0.1348724601820015,1.0,0.37323457,FACILITY_DEFICIT,-0.020305267,0.00048711197,0.08347681,0.0019113441,0.09500338
189,10.913910041829524,158990.72855921194,0.5859950805232257,0.0,VALIDATED_ESTIMATE,0.0712361666287086,0.3145386926702314,1.0,0.43461883,FACILITY_DEFICIT,-0.023162292,-0.0006395575,0.09054478,0.05434053,0.1008741
17,6.645347402327021,24670.0,0.1659187862744412,0.1176470588235294,VALIDATED,0.0095066702240681,0.0203275941013096,0.0,0.010200474,FACILITY_COUNT_2KM,-0.035283994,0.0002488886,-0.07005925,-0.029513912,-0.06785257
19,4.117124039078972,15457.0,0.1032563610749547,0.1176470588235294,VALIDATED,0.0097452096412551,0.0118669323568446,0.0,0.008699957,FACILITY_COUNT_2KM,-0.034939803,-0.0009335756,-0.07008988,-0.02994693,-0.06805116
20,0.541443081932343,13276.0,0.0326656826830277,0.0588235294117647,VALIDATED,0.1278284395991637,0.0283173361785135,0.0,0.058456916,FACILITY_COUNT_2KM,0.0042286194,-0.00074407196,-0.069831364,-0.024258172,-0.06359943
21,1.9543463794022389,16044.0,0.0660029417801296,0.1176470588235294,VALIDATED,0.0350792325710825,0.0178249993391634,0.0,0.016752869,FACILITY_COUNT_2KM,-0.027949298,-0.0010482405,-0.07091453,-0.028198013,-0.06779836
18,8.048647509531047,16424.0,0.0897786107601861,0.1764705882352941,VALIDATED,0.0,0.0041944864925271,0.0,0.0035181402,FACILITY_COUNT_2KM,-0.03608517,-0.00086933555,-0.07028452,-0.03361099,-0.06829316
15,8.69058164792061,19952.0,0.1075183912762311,0.1764705882352941,VALIDATED,0.0014513645933739,0.0065675667118401,0.0,0.0042955466,FACILITY_COUNT_2KM,-0.036083102,-0.00094171095,-0.07026974,-0.03277805,-0.06829316
1,1.82999853928047,51163.0,0.0633748224195711,0.0588235294117647,VALIDATED,0.1473804411459551,0.0644950508042905,0.0227312706448019,0.07545775,FACILITY_COUNT_2KM,0.0037933993,-0.0010463614,-0.06898604,-0.012284612,-0.058679994
2,2.830219421332424,66897.0,0.0097386219767887,0.0588235294117647,VALIDATED,0.1228073473987689,0.0071109992014104,0.2525823280565646,0.10963716,FACILITY_COUNT_2KM,0.006143237,0.0032237477,-0.06734758,-0.030135421,-0.014908129
3,2.955690920837853,52995.0,0.0656232266059595,0.1764705882352941,VALIDATED,0.0903549483103195,0.0418847387163554,0.0,0.0455846,FACILITY_COUNT_2KM,-0.011467598,-0.0010434239,-0.0691721,-0.019284843,-0.06610876
4,1.651187199018171,15186.0,0.0145444510877641,0.1764705882352941,VALIDATED,0.0406954138890254,0.0027511493770697,0.0,0.013436012,FACILITY_COUNT_2KM,-0.027995164,0.0011281745,-0.07079697,-0.033322394,-0.06823895
6,1.8396173625811685,19523.0,0.0264777331948375,0.1764705882352941,VALIDATED,0.0487448112107914,0.008286003405744,0.0,0.016281296,FACILITY_COUNT_2KM,-0.026671443,-0.0007087113,-0.07109586,-0.029665044,-0.06823895
5,2.617603552190197,45204.0,0.0500555742183889,0.2352941176470588,VALIDATED,0.0865984841728295,0.0302758036742722,0.0,0.037012495,FACILITY_COUNT_2KM,-0.015838696,-0.0007495826,-0.07023006,-0.02228702,-0.06654348
8,0.4626344134937387,33039.0,0.015328991605736,0.1764705882352941,VALIDATED,0.3945008846601527,0.0417581495507438,0.0,0.13381214,POPULATION_DENSITY,0.11327477,0.00219239,-0.0966556,-0.02384736,-0.07381336
9,0.51609199755201,20306.0,0.0301547971773214,0.2352941176470588,VALIDATED,0.2121375125048281,0.0434147262636744,0.0,0.076682866,FACILITY_COUNT_2KM,0.022044754,-0.0007586135,-0.07552908,-0.018330961,-0.063404545
10,0.4671990409191374,44747.0,0.0416167457413103,0.2941176470588235,VALIDATED,0.5330381111579298,0.1502613304470663,0.0,0.2206302,POPULATION_DENSITY,0.13454586,-0.0012808961,-0.09084064,0.03478545,-0.0692409
11,1.198740410405662,33287.0,0.0459955844097274,0.2352941176470588,VALIDATED,0.1463020889887001,0.0461494246708609,0.0,0.06412519,FACILITY_COUNT_2KM,0.003868058,-0.00070040213,-0.06965151,-0.017944176,-0.0641081
12,0.3727102591040335,16254.0,0.0081911503077432,0.2352941176470588,VALIDATED,0.2363883067518012,0.012906449663964,0.0,0.072168,FACILITY_COUNT_2KM,0.022318292,0.003171966,-0.07551962,-0.026800571,-0.06366337
13,0.4384884653934222,21829.0,0.0,0.2941176470588235,VALIDATED,0.2714862766217595,0.0,0.0,0.08419563,FACILITY_COUNT_2KM,0.046280894,-0.0003248041,-0.074100934,-0.035762414,-0.06455841
14,0.7960387387835968,35130.0,0.0383822567376458,0.2941176470588235,VALIDATED,0.2393494933110375,0.0624839547609013,0.0,0.09439793,FACILITY_COUNT_2KM,0.03234168,-0.0007302359,-0.07504829,-0.013514011,-0.061312553
22,3.992880705583719,26177.0,0.0195866074497726,0.1176470588235294,VALIDATED,0.025676652208032,0.0024088912916592,0.0,0.009374089,FACILITY_COUNT_2KM,-0.03146138,-0.00041846812,-0.070130855,-0.03270068,-0.068575844
23,2.914437322105761,18434.0,0.028588901300593,0.1176470588235294,VALIDATED,0.0243638812280131,0.004339497072271,0.0,0.00907617,FACILITY_COUNT_2KM,-0.03146138,-0.00063633587,-0.070130855,-0.032780733,-0.068575844
32,0.7830273780547985,32269.0,0.015540930871216,0.0588235294117647,VALIDATED,0.2227421736093943,0.0232754039369373,0.0,0.074590415,FACILITY_COUNT_2KM,0.022398889,0.0021489102,-0.07549104,-0.024231782,-0.06289587
24,4.710414540757808,21002.0,0.1063926293491595,0.1176470588235294,VALIDATED,0.0137503135093489,0.015119531191493,0.0,0.01044906,FACILITY_COUNT_2KM,-0.03419597,-0.0009335756,-0.0700831,-0.02914704,-0.06785257
25,2.5387305938520144,19261.0,0.0797903660203691,0.1764705882352941,VALIDATED,0.0315391719645552,0.0201456303843763,0.0,0.016752869,FACILITY_COUNT_2KM,-0.02915428,-0.0009679505,-0.069780126,-0.028207725,-0.06779836
29,2.156623784418006,19415.0,0.0500337414169654,0.2352941176470588,VALIDATED,0.03958925638087,0.0144793427845426,0.0,0.017193155,FACILITY_COUNT_2KM,-0.027920606,-0.0007022813,-0.07085246,-0.028194454,-0.06779836
28,3.182426688927478,26156.0,0.0619762206757715,0.2941176470588235,VALIDATED,0.035133203857963,0.0166218923047495,0.0,0.016752869,FACILITY_COUNT_2KM,-0.027924279,-0.0010198628,-0.07097118,-0.028194763,-0.06779836
27,3.1972697116540085,24426.0,0.0648993911490415,0.1764705882352941,VALIDATED,0.0318393124772778,0.0160874440532932,0.0,0.016752869,FACILITY_COUNT_2KM,-0.029073989,-0.0010482405,-0.069780126,-0.028207725,-0.06779836
